unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_7mpf_4k6g,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,vehicle_type
66516152,2025-10-18T02:13:37.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10456,1275 WEBSTER AVENUE,WEBSTER AVENUE,ADDRESS,BRONX,N/A,Open,2025-11-17T02:13:37.000,The graffiti on this property has been scheduled to be removed by the City.,2025-10-18T02:13:37.000,04 BRONX,2024270029,BRONX,1009492,243066,UNKNOWN,Unspecified,BRONX,40.83379931723532,-73.90878285114279,"{'latitude': '40.83379931723532', 'longitude': '-73.90878285114279', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10934,50,5,42,27,27,,,,,,
66518797,2025-10-18T01:36:10.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10307,225 ELLIS STREET,ELLIS STREET,ADDRESS,STATEN ISLAND,,In Progress,,,2025-10-18T02:11:09.000,03 STATEN ISLAND,5079980130,STATEN ISLAND,915172,126929,PHONE,Unspecified,STATEN ISLAND,40.51479698515648,-74.24843667559824,"{'latitude': '40.51479698515648', 'longitude': '-74.24843667559824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10694,15,1,9,77,77,WEIR LANE,MAIN STREET,WEIR LANE,MAIN STREET,ELLIS STREET,
66515809,2025-10-18T01:35:50.000,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,10473,1670 SEWARD AVENUE,SEWARD AVENUE,ADDRESS,BRONX,,In Progress,,,2025-10-18T01:51:00.000,09 BRONX,2035510001,BRONX,1020245,237410,ONLINE,Unspecified,BRONX,40.81823794472903,-73.86995507021194,"{'latitude': '40.81823794472903', 'longitude': '-73.86995507021194', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11611,58,5,31,26,26,METCALF AVENUE EXTENSION,CROES PLACE,METCALF AVENUE EXTENSION,CROES PLACE,SEWARD AVENUE,
66520415,2025-10-18T01:35:37.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11213,227 SCHENECTADY AVENUE,SCHENECTADY AVENUE,ADDRESS,BROOKLYN,,In Progress,,,2025-10-18T02:14:04.000,08 BROOKLYN,3013780005,BROOKLYN,1002648,183781,MOBILE,Unspecified,BROOKLYN,40.67109401905852,-73.93367724591218,"{'latitude': '40.67109401905852', 'longitude': '-73.93367724591218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17615,16,2,49,49,49,STERLING PLACE,ST JOHNS PLACE,STERLING PLACE,ST JOHNS PLACE,SCHENECTADY AVENUE,
66523535,2025-10-18T01:35:24.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10011,123 WEST   13 STREET,WEST   13 STREET,ADDRESS,NEW YORK,,In Progress,,,,02 MANHATTAN,1006090023,MANHATTAN,984747,207801,MOBILE,Unspecified,MANHATTAN,40.737042371021445,-73.99820659688493,"{'latitude': '40.737042371021445', 'longitude': '-73.99820659688493', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12074,57,4,10,3,3,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,WEST   13 STREET,
66523518,2025-10-18T01:34:28.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11102,1-25 ASTORIA BOULEVARD,ASTORIA BOULEVARD,ADDRESS,ASTORIA,,In Progress,,,2025-10-18T02:40:23.000,01 QUEENS,4004900101,QUEENS,1001867,221220,PHONE,Unspecified,QUEENS,40.773856569245396,-73.93639466501253,"{'latitude': '40.773856569245396', 'longitude': '-73.93639466501253', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16859,39,3,4,72,72,1 STREET,DEAD END,1 STREET,DEAD END,ASTORIA BOULEVARD,
66521997,2025-10-18T01:34:22.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11210,1103 EAST   34 STREET,EAST   34 STREET,ADDRESS,BROOKLYN,,In Progress,,,,18 BROOKLYN,3075980053,BROOKLYN,999973,168488,PHONE,Unspecified,BROOKLYN,40.62912321945962,-73.94335597105966,"{'latitude': '40.62912321945962', 'longitude': '-73.94335597105966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17217,5,2,26,38,38,AVENUE I,FLATBUSH AVENUE,AVENUE I,FLATBUSH AVENUE,EAST   34 STREET,
66521983,2025-10-18T01:34:19.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11213,1049 MONTGOMERY STREET,MONTGOMERY STREET,ADDRESS,BROOKLYN,,In Progress,,,,09 BROOKLYN,3014200061,BROOKLYN,1003661,181288,PHONE,Unspecified,BROOKLYN,40.66424912836125,-73.9300326727805,"{'latitude': '40.66424912836125', 'longitude': '-73.9300326727805', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17615,17,2,17,44,44,UTICA AVENUE,EAST NEW YORK AVENUE,UTICA AVENUE,EAST NEW YORK AVENUE,MONTGOMERY STREET,
66521970,2025-10-18T01:34:19.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10002,91B ALLEN STREET,ALLEN STREET,ADDRESS,NEW YORK,,In Progress,,,2025-10-18T01:39:25.000,03 MANHATTAN,,MANHATTAN,986803,201022,PHONE,Unspecified,MANHATTAN,40.718435314144934,-73.99079018124641,"{'latitude': '40.718435314144934', 'longitude': '-73.99079018124641', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723,70,4,32,2,2,BROOME STREET,DELANCEY STREET,BROOME STREET,DELANCEY STREET,ALLEN STREET,
66514328,2025-10-18T01:33:59.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10040,160 BENNETT AVENUE,BENNETT AVENUE,ADDRESS,NEW YORK,,In Progress,,,,12 MANHATTAN,1021800340,MANHATTAN,1002414,250933,ONLINE,Unspecified,MANHATTAN,40.85540931212554,-73.93433933605257,"{'latitude': '40.85540931212554', 'longitude': '-73.93433933605257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13098,47,4,39,22,22,WEST  187 STREET,WEST  189 STREET,WEST  187 STREET,WEST  189 STREET,BENNETT AVENUE,
